[2025-08-07T08:47:52.054Z] ERROR: GET /placeholder/300/200 - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T08:48:05.808Z] ERROR: GET /api/offers - 404 | {"duration":"3ms","ip":"::1"}
[2025-08-07T08:48:05.810Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T08:48:05.857Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T08:48:05.859Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T08:48:06.062Z] ERROR: GET /placeholder/300/200 - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T08:49:34.485Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T08:49:34.493Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T08:49:34.509Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T08:49:34.512Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T08:49:34.646Z] ERROR: GET /placeholder/300/200 - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T08:49:39.512Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T08:49:39.516Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T08:49:39.685Z] ERROR: GET /placeholder/300/200 - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T08:49:39.804Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T08:49:39.811Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T08:49:39.856Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T08:49:39.859Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T08:49:40.040Z] ERROR: GET /placeholder/300/200 - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T08:50:11.323Z] ERROR: GET /api/offers - 404 | {"duration":"2ms","ip":"::1"}
[2025-08-07T08:50:11.328Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T08:50:11.920Z] ERROR: GET /placeholder/300/200 - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T08:50:12.929Z] ERROR: GET /api/offers - 404 | {"duration":"2ms","ip":"::1"}
[2025-08-07T08:50:12.940Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T08:50:13.036Z] ERROR: GET /api/offers - 404 | {"duration":"4ms","ip":"::1"}
[2025-08-07T08:50:13.042Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T08:50:13.246Z] ERROR: GET /placeholder/300/200 - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T08:50:13.804Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T08:50:13.814Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T08:50:13.862Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T08:50:13.864Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T08:50:14.207Z] ERROR: GET /placeholder/300/200 - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T08:52:01.817Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T08:52:01.821Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T08:52:01.852Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T08:52:01.854Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T08:52:01.919Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T08:52:01.921Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T08:52:01.961Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T08:52:01.963Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T08:52:02.121Z] ERROR: GET /placeholder/300/200 - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T08:52:02.175Z] ERROR: GET /placeholder/300/200 - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T08:52:53.526Z] ERROR: GET /api/offers - 404 | {"duration":"3ms","ip":"::1"}
[2025-08-07T08:52:53.528Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T08:52:53.593Z] ERROR: GET /placeholder/300/200 - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T08:52:58.666Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T08:52:58.671Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T08:52:58.741Z] ERROR: GET /placeholder/300/200 - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T08:53:02.634Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T08:53:02.638Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T08:53:02.916Z] ERROR: GET /placeholder/300/200 - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T08:53:16.664Z] ERROR: GET /placeholder/300/200 - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T08:58:44.227Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T08:58:44.231Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T08:58:44.517Z] ERROR: GET /placeholder/300/200 - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T09:01:02.412Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T09:01:02.418Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T09:01:02.439Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T09:01:02.442Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T09:01:02.571Z] ERROR: GET /placeholder/300/200 - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T09:01:06.909Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T09:01:06.913Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T09:01:06.940Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T09:01:06.943Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T09:01:07.102Z] ERROR: GET /placeholder/300/200 - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T09:01:07.742Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T09:01:07.745Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T09:01:07.785Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T09:01:07.791Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T09:01:07.903Z] ERROR: GET /placeholder/300/200 - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T09:01:10.559Z] ERROR: GET /api/offers - 404 | {"duration":"3ms","ip":"::1"}
[2025-08-07T09:01:10.564Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T09:01:10.586Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T09:01:10.589Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T09:01:10.710Z] ERROR: GET /placeholder/300/200 - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T09:03:09.778Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T09:03:09.786Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T09:03:09.851Z] ERROR: GET /placeholder/300/200 - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T09:30:39.837Z] ERROR: GET /api/offers - 404 | {"duration":"3ms","ip":"::1"}
[2025-08-07T09:30:39.839Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T09:30:39.881Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T09:30:39.886Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T09:30:40.024Z] ERROR: GET /placeholder/300/200 - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T09:31:55.742Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T09:31:55.748Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T09:31:55.764Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T09:31:55.766Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T09:31:55.902Z] ERROR: GET /placeholder/300/200 - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T09:36:06.173Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T09:36:06.181Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T09:36:06.249Z] ERROR: GET /placeholder/300/200 - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T09:36:07.654Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T09:36:07.667Z] ERROR: GET /api/offers - 404 | {"duration":"5ms","ip":"::1"}
[2025-08-07T09:36:36.930Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T09:36:36.933Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T09:36:37.082Z] ERROR: GET /placeholder/300/200 - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T09:36:38.938Z] ERROR: GET /api/offers - 404 | {"duration":"3ms","ip":"::1"}
[2025-08-07T09:36:38.940Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T09:36:39.090Z] ERROR: GET /placeholder/300/200 - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T09:36:45.693Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T09:36:45.698Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T09:36:45.718Z] ERROR: GET /api/offers - 404 | {"duration":"2ms","ip":"::1"}
[2025-08-07T09:36:45.725Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T09:36:47.850Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T09:36:47.853Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T09:36:47.912Z] ERROR: GET /placeholder/300/200 - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T09:36:54.961Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T09:36:54.965Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T09:36:55.030Z] ERROR: GET /placeholder/300/200 - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T09:36:56.577Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T09:36:56.585Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T09:37:06.026Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T09:37:06.029Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T09:37:06.310Z] ERROR: GET /placeholder/300/200 - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T09:37:07.217Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T09:37:07.228Z] ERROR: GET /api/offers - 404 | {"duration":"4ms","ip":"::1"}
[2025-08-07T09:37:40.662Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T09:37:40.666Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T09:37:40.736Z] ERROR: GET /placeholder/300/200 - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T09:37:41.481Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T09:37:41.491Z] ERROR: GET /api/offers - 404 | {"duration":"3ms","ip":"::1"}
[2025-08-07T09:37:43.885Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T09:37:43.889Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T09:37:43.955Z] ERROR: GET /placeholder/300/200 - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T09:37:44.587Z] ERROR: GET /api/offers - 404 | {"duration":"5ms","ip":"::1"}
[2025-08-07T09:37:44.594Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T09:37:46.790Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T09:37:46.796Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T09:37:46.862Z] ERROR: GET /placeholder/300/200 - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T09:37:47.399Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T09:37:47.412Z] ERROR: GET /api/offers - 404 | {"duration":"5ms","ip":"::1"}
[2025-08-07T09:38:35.561Z] ERROR: POST /otp/send-otp - 404 | {"duration":"2ms","ip":"::1"}
[2025-08-07T09:38:59.016Z] ERROR: POST /otp/send-otp - 404 | {"duration":"2ms","ip":"::1"}
[2025-08-07T09:40:01.590Z] ERROR: POST /otp/send-otp - 404 | {"duration":"2ms","ip":"::1"}
[2025-08-07T09:44:39.296Z] ERROR: POST /otp/send-otp - 404 | {"duration":"14ms","ip":"::1"}
[2025-08-07T09:47:29.451Z] ERROR: POST /otp/send-otp - 404 | {"duration":"2ms","ip":"::1"}
[2025-08-07T09:52:25.201Z] ERROR: GET /api/offers - 404 | {"duration":"3ms","ip":"::1"}
[2025-08-07T09:52:25.207Z] ERROR: GET /api/offers - 404 | {"duration":"2ms","ip":"::1"}
[2025-08-07T09:52:25.476Z] ERROR: GET /placeholder/300/200 - 404 | {"duration":"3ms","ip":"::1"}
[2025-08-07T09:52:26.534Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T09:52:26.544Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T09:52:50.780Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T09:52:50.786Z] ERROR: GET /api/offers - 404 | {"duration":"2ms","ip":"::1"}
[2025-08-07T09:52:50.850Z] ERROR: GET /placeholder/300/200 - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T09:52:52.121Z] ERROR: GET /api/offers - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T09:52:52.132Z] ERROR: GET /api/offers - 404 | {"duration":"2ms","ip":"::1"}
[2025-08-07T09:52:52.155Z] ERROR: GET /api/offers - 404 | {"duration":"3ms","ip":"::1"}
[2025-08-07T09:52:52.162Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T16:05:43.955Z] ERROR: POST /login - 400 | {"duration":"30018ms","ip":"::1"}
[2025-08-07T16:05:53.503Z] ERROR: GET /api/offers - 404 | {"duration":"3ms","ip":"::1"}
[2025-08-07T16:05:53.511Z] ERROR: GET /api/offers - 404 | {"duration":"2ms","ip":"::1"}
[2025-08-07T16:05:56.054Z] ERROR: GET /placeholder/300/200 - 404 | {"duration":"0ms","ip":"::1"}
[2025-08-07T16:05:56.653Z] ERROR: GET /api/offers - 404 | {"duration":"3ms","ip":"::1"}
[2025-08-07T16:05:56.667Z] ERROR: GET /api/offers - 404 | {"duration":"10ms","ip":"::1"}
[2025-08-07T16:06:14.966Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
[2025-08-07T16:06:14.976Z] ERROR: GET /api/offers - 404 | {"duration":"1ms","ip":"::1"}
